Week Number,ISO Year,Date,Week Code
1,1920,1919-12-29,1920W01
2,1920,1920-01-05,1920W02
3,1920,1920-01-12,1920W03
4,1920,1920-01-19,1920W04
5,1920,1920-01-26,1920W05
6,1920,1920-02-02,1920W06
7,1920,1920-02-09,1920W07
8,1920,1920-02-16,1920W08
9,1920,1920-02-23,1920W09
10,1920,1920-03-01,1920W10
11,1920,1920-03-08,1920W11
12,1920,1920-03-15,1920W12
13,1920,1920-03-22,1920W13
14,1920,1920-03-29,1920W14
15,1920,1920-04-05,1920W15
16,1920,1920-04-12,1920W16
17,1920,1920-04-19,1920W17
18,1920,1920-04-26,1920W18
19,1920,1920-05-03,1920W19
20,1920,1920-05-10,1920W20
21,1920,1920-05-17,1920W21
22,1920,1920-05-24,1920W22
23,1920,1920-05-31,1920W23
24,1920,1920-06-07,1920W24
25,1920,1920-06-14,1920W25
26,1920,1920-06-21,1920W26
27,1920,1920-06-28,1920W27
28,1920,1920-07-05,1920W28
29,1920,1920-07-12,1920W29
30,1920,1920-07-19,1920W30
31,1920,1920-07-26,1920W31
32,1920,1920-08-02,1920W32
33,1920,1920-08-09,1920W33
34,1920,1920-08-16,1920W34
35,1920,1920-08-23,1920W35
36,1920,1920-08-30,1920W36
37,1920,1920-09-06,1920W37
38,1920,1920-09-13,1920W38
39,1920,1920-09-20,1920W39
40,1920,1920-09-27,1920W40
41,1920,1920-10-04,1920W41
42,1920,1920-10-11,1920W42
43,1920,1920-10-18,1920W43
44,1920,1920-10-25,1920W44
45,1920,1920-11-01,1920W45
46,1920,1920-11-08,1920W46
47,1920,1920-11-15,1920W47
48,1920,1920-11-22,1920W48
49,1920,1920-11-29,1920W49
50,1920,1920-12-06,1920W50
51,1920,1920-12-13,1920W51
52,1920,1920-12-20,1920W52
53,1920,1920-12-27,1920W53
1,1921,1921-01-03,1921W01
2,1921,1921-01-10,1921W02
3,1921,1921-01-17,1921W03
4,1921,1921-01-24,1921W04
5,1921,1921-01-31,1921W05
6,1921,1921-02-07,1921W06
7,1921,1921-02-14,1921W07
8,1921,1921-02-21,1921W08
9,1921,1921-02-28,1921W09
10,1921,1921-03-07,1921W10
11,1921,1921-03-14,1921W11
12,1921,1921-03-21,1921W12
13,1921,1921-03-28,1921W13
14,1921,1921-04-04,1921W14
15,1921,1921-04-11,1921W15
16,1921,1921-04-18,1921W16
17,1921,1921-04-25,1921W17
18,1921,1921-05-02,1921W18
19,1921,1921-05-09,1921W19
20,1921,1921-05-16,1921W20
21,1921,1921-05-23,1921W21
22,1921,1921-05-30,1921W22
23,1921,1921-06-06,1921W23
24,1921,1921-06-13,1921W24
25,1921,1921-06-20,1921W25
26,1921,1921-06-27,1921W26
27,1921,1921-07-04,1921W27
28,1921,1921-07-11,1921W28
29,1921,1921-07-18,1921W29
30,1921,1921-07-25,1921W30
31,1921,1921-08-01,1921W31
32,1921,1921-08-08,1921W32
33,1921,1921-08-15,1921W33
34,1921,1921-08-22,1921W34
35,1921,1921-08-29,1921W35
36,1921,1921-09-05,1921W36
37,1921,1921-09-12,1921W37
38,1921,1921-09-19,1921W38
39,1921,1921-09-26,1921W39
40,1921,1921-10-03,1921W40
41,1921,1921-10-10,1921W41
42,1921,1921-10-17,1921W42
43,1921,1921-10-24,1921W43
44,1921,1921-10-31,1921W44
45,1921,1921-11-07,1921W45
46,1921,1921-11-14,1921W46
47,1921,1921-11-21,1921W47
48,1921,1921-11-28,1921W48
49,1921,1921-12-05,1921W49
50,1921,1921-12-12,1921W50
51,1921,1921-12-19,1921W51
52,1921,1921-12-26,1921W52
1,1922,1922-01-02,1922W01
2,1922,1922-01-09,1922W02
3,1922,1922-01-16,1922W03
4,1922,1922-01-23,1922W04
5,1922,1922-01-30,1922W05
6,1922,1922-02-06,1922W06
7,1922,1922-02-13,1922W07
8,1922,1922-02-20,1922W08
9,1922,1922-02-27,1922W09
10,1922,1922-03-06,1922W10
11,1922,1922-03-13,1922W11
12,1922,1922-03-20,1922W12
13,1922,1922-03-27,1922W13
14,1922,1922-04-03,1922W14
15,1922,1922-04-10,1922W15
16,1922,1922-04-17,1922W16
17,1922,1922-04-24,1922W17
18,1922,1922-05-01,1922W18
19,1922,1922-05-08,1922W19
20,1922,1922-05-15,1922W20
21,1922,1922-05-22,1922W21
22,1922,1922-05-29,1922W22
23,1922,1922-06-05,1922W23
24,1922,1922-06-12,1922W24
25,1922,1922-06-19,1922W25
26,1922,1922-06-26,1922W26
27,1922,1922-07-03,1922W27
28,1922,1922-07-10,1922W28
29,1922,1922-07-17,1922W29
30,1922,1922-07-24,1922W30
31,1922,1922-07-31,1922W31
32,1922,1922-08-07,1922W32
33,1922,1922-08-14,1922W33
34,1922,1922-08-21,1922W34
35,1922,1922-08-28,1922W35
36,1922,1922-09-04,1922W36
37,1922,1922-09-11,1922W37
38,1922,1922-09-18,1922W38
39,1922,1922-09-25,1922W39
40,1922,1922-10-02,1922W40
41,1922,1922-10-09,1922W41
42,1922,1922-10-16,1922W42
43,1922,1922-10-23,1922W43
44,1922,1922-10-30,1922W44
45,1922,1922-11-06,1922W45
46,1922,1922-11-13,1922W46
47,1922,1922-11-20,1922W47
48,1922,1922-11-27,1922W48
49,1922,1922-12-04,1922W49
50,1922,1922-12-11,1922W50
51,1922,1922-12-18,1922W51
52,1922,1922-12-25,1922W52
1,1923,1923-01-01,1923W01
2,1923,1923-01-08,1923W02
3,1923,1923-01-15,1923W03
4,1923,1923-01-22,1923W04
5,1923,1923-01-29,1923W05
6,1923,1923-02-05,1923W06
7,1923,1923-02-12,1923W07
8,1923,1923-02-19,1923W08
9,1923,1923-02-26,1923W09
10,1923,1923-03-05,1923W10
11,1923,1923-03-12,1923W11
12,1923,1923-03-19,1923W12
13,1923,1923-03-26,1923W13
14,1923,1923-04-02,1923W14
15,1923,1923-04-09,1923W15
16,1923,1923-04-16,1923W16
17,1923,1923-04-23,1923W17
18,1923,1923-04-30,1923W18
19,1923,1923-05-07,1923W19
20,1923,1923-05-14,1923W20
21,1923,1923-05-21,1923W21
22,1923,1923-05-28,1923W22
23,1923,1923-06-04,1923W23
24,1923,1923-06-11,1923W24
25,1923,1923-06-18,1923W25
26,1923,1923-06-25,1923W26
27,1923,1923-07-02,1923W27
28,1923,1923-07-09,1923W28
29,1923,1923-07-16,1923W29
30,1923,1923-07-23,1923W30
31,1923,1923-07-30,1923W31
32,1923,1923-08-06,1923W32
33,1923,1923-08-13,1923W33
34,1923,1923-08-20,1923W34
35,1923,1923-08-27,1923W35
36,1923,1923-09-03,1923W36
37,1923,1923-09-10,1923W37
38,1923,1923-09-17,1923W38
